vendor;nomor_kontainer;size;tanggal_awal;tanggal_akhir;tarif;adjustment;group;status
ZONA;DNAU2622206;20;2025-02-11;2025-03-10;675676;0;Z27;ongoing
ZONA;DNAU2622206;20;2025-03-11;2025-04-07;675676;-360361;Z27;ongoing
ZONA;EMSU9871692;40;2025-01-07;2025-02-06;1261261;0;Z43;ongoing
ZONA;EMSU9871692;40;2025-02-07;2025-03-06;1261261;0;Z43;ongoing
ZONA;EMSU9871692;40;2025-03-07;2025-04-06;1261261;-252252;Z43;ongoing
ZONA;EMSU9871692;40;2025-04-07;2025-05-06;1261261;-294294;Z43;ongoing
ZONA;EMSU9871692;40;2025-05-07;2025-06-06;1261261;0;Z43;ongoing
ZONA;EMSU9871692;40;2025-06-07;2025-07-06;1261261;0;Z43;ongoing
ZONA;EMSU9871692;40;2025-07-07;2025-07-23;1261261;0;Z43;ongoing
ZONA;APZU3960241;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;CBHU4034438;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;CLHU3586854;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;CXDU1108921;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;CXDU1212730;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;DFSU2296934;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;GATU1019864;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;GESU1386736;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;GESU1449670;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;HALU3509311;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;ILSU2019602;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;MSCU3213686;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;TEMU2353770;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;TGHU1246275;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;TGHU3222626;20;2025-01-21;2025-02-20;675676;0;Z53;ongoing
ZONA;APZU3960241;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
ZONA;CBHU4034438;20;2025-02-21;2025-03-20;675676;0;Z53;ongoing
