vendor,nomor_kontainer,size,tanggal_awal,tanggal_akhir,tarif,adjustment,periode,group,status
ZONA,TEXU7210230,40,2024-09-06,2024-10-05,Bulanan,0,3,Z02,ongoing
ZONA,XXXU9902224,40,2024-09-06,2024-10-05,Bulanan,0,3,Z02,ongoing
ZONA,MSCU7085120,40,2024-10-06,2024-11-05,Bulanan,0,4,Z02,ongoing
ZONA,TEXU7210230,40,2024-10-06,2024-11-05,Bulanan,0,4,Z02,ongoing
ZONA,XXXU9902224,40,2024-10-06,2024-11-05,Bulanan,0,4,Z02,ongoing
ZONA,MSCU7085120,40,2024-11-06,2024-12-05,Bulanan,0,5,Z02,ongoing
ZONA,TEXU7210230,40,2024-11-06,2024-12-05,Bulanan,0,5,Z02,ongoing
ZONA,XXXU9902224,40,2024-11-06,2024-12-05,Bulanan,0,5,Z02,ongoing
ZONA,MSCU7085120,40,2024-12-06,2024-12-10,Harian,0,6,Z02,ongoing
ZONA,TEXU7210230,40,2024-12-06,2025-01-05,Bulanan,0,6,Z02,ongoing
ZONA,XXXU9902224,40,2024-12-06,2025-01-04,Bulanan,0,6,Z02,ongoing
ZONA,TEXU7210230,40,2025-01-06,2025-02-05,Bulanan,0,7,Z02,ongoing
ZONA,TEXU7210230,40,2025-02-06,2025-03-05,Bulanan,0,8,Z02,ongoing
ZONA,TEXU7210230,40,2025-03-06,2025-04-05,Bulanan,-210210,9,Z02,ongoing
ZONA,TEXU7210230,40,2025-04-06,2025-05-05,Bulanan,-84084,10,Z02,ongoing
ZONA,TEXU7210230,40,2025-05-06,2025-06-05,Bulanan,0,11,Z02,ongoing
ZONA,TEXU7210230,40,2025-06-06,2025-07-05,Bulanan,0,12,Z02,ongoing
ZONA,TEXU7210230,40,2025-07-06,2025-07-25,Harian,42042,13,Z02,ongoing
ZONA,PCIU9765813,40,2024-07-08,2024-08-07,Bulanan,0,1,Z15,ongoing
ZONA,TGHU9508962,40,2024-07-09,2024-08-08,Bulanan,0,1,Z15,ongoing
ZONA,NYKU5515880,40,2024-07-10,2024-08-09,Bulanan,0,1,Z15,ongoing
ZONA,PONU7225703,40,2024-07-09,2024-08-08,Bulanan,0,1,Z15,ongoing
ZONA,PCIU9765813,40,2024-08-08,2024-09-07,Bulanan,0,2,Z15,ongoing
ZONA,TGHU9508962,40,2024-08-09,2024-09-08,Bulanan,0,2,Z15,ongoing
ZONA,NYKU5515880,40,2024-08-10,2024-09-09,Bulanan,0,2,Z15,ongoing
ZONA,PONU7225703,40,2024-08-10,2024-09-09,Bulanan,0,2,Z15,ongoing
ZONA,PCIU9765813,40,2024-09-08,2024-10-07,Bulanan,0,3,Z15,ongoing
ZONA,TGHU9508962,40,2024-09-09,2024-10-08,Bulanan,0,3,Z15,ongoing
ZONA,NYKU5515880,40,2024-09-10,2024-10-09,Bulanan,0,3,Z15,ongoing
ZONA,PONU7225703,40,2024-09-10,2024-10-09,Bulanan,0,3,Z15,ongoing
ZONA,PCIU9765813,40,2024-10-08,2024-11-07,Bulanan,0,4,Z15,ongoing
ZONA,TGHU9508962,40,2024-10-09,2024-11-08,Bulanan,0,4,Z15,ongoing
ZONA,NYKU5515880,40,2024-10-10,2024-11-09,Bulanan,0,4,Z15,ongoing
ZONA,PONU7225703,40,2024-10-10,2024-11-09,Bulanan,0,4,Z15,ongoing
ZONA,PCIU9765813,40,2024-11-08,2024-12-05,Harian,0,5,Z15,ongoing
ZONA,TGHU9508962,40,2024-11-09,2024-12-09,Bulanan,0,5,Z15,ongoing
ZONA,NYKU5515880,40,2024-11-10,2024-12-09,Bulanan,0,5,Z15,ongoing
ZONA,PONU7225703,40,2024-11-09,2024-12-03,Harian,0,5,Z15,ongoing
ZONA,DNAU2622206,20,2025-01-11,2025-02-10,Bulanan,0,2,Z27,ongoing
ZONA,DNAU2622206,20,2025-02-11,2025-03-10,Bulanan,0,3,Z27,ongoing
ZONA,DNAU2622206,20,2025-03-11,2025-04-07,Harian,-360361,4,Z27,ongoing
ZONA,EMSU9871692,40,2025-01-07,2025-02-06,Bulanan,0,1,Z43,ongoing
ZONA,EMSU9871692,40,2025-02-07,2025-03-06,Bulanan,0,2,Z43,ongoing
ZONA,EMSU9871692,40,2025-03-07,2025-04-06,Bulanan,-252252,3,Z43,ongoing
ZONA,EMSU9871692,40,2025-04-07,2025-05-06,Bulanan,-294294,4,Z43,ongoing
ZONA,EMSU9871692,40,2025-05-07,2025-06-06,Bulanan,0,5,Z43,ongoing
ZONA,EMSU9871692,40,2025-06-07,2025-07-06,Bulanan,0,6,Z43,ongoing
ZONA,EMSU9871692,40,2025-07-07,2025-07-23,Harian,0,17,Z43,ongoing
ZONA,APZU3960241,20,2025-01-21,2025-02-20,Bulanan,0,1,Z53,ongoing
ZONA,CBHU4034438,20,2025-01-21,2025-02-20,Bulanan,0,1,Z53,ongoing
ZONA,CLHU3586854,20,2025-01-21,2025-02-20,Bulanan,0,1,Z53,ongoing
