Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
GATU;101379;0;20;PT. ZONA LINTAS SAMUDERA;1013790;
GATU;101986;4;20;PT. ZONA LINTAS SAMUDERA;1019864;
GATU;105644;6;20;PT. ZONA LINTAS SAMUDERA;1056446;
GATU;132169;0;20;PT. ZONA LINTAS SAMUDERA;1321690;
GATU;136174;8;20;PT. ZONA LINTAS SAMUDERA;1361748;
GATU;850360;7;40;PT. ZONA LINTAS SAMUDERA;8503607;
GATU;861562;8;40;PT. ZONA LINTAS SAMUDERA;8615628;
GERU;303385;1;20;PT. ZONA LINTAS SAMUDERA;3033851;
GESU;104197;1;20;PT. ZONA LINTAS SAMUDERA;1041971;
GESU;104860;0;20;PT. ZONA LINTAS SAMUDERA;1048600;
GESU;105745;3;20;PT. ZONA LINTAS SAMUDERA;1057453;
GESU;113633;6;20;PT. ZONA LINTAS SAMUDERA;1136336;
GESU;114532;2;20;PT. ZONA LINTAS SAMUDERA;1145322;
GESU;134513;0;20;PT. ZONA LINTAS SAMUDERA;1345130;
GESU;138673;6;20;PT. ZONA LINTAS SAMUDERA;1386736;
GESU;141505;3;20;PT. ZONA LINTAS SAMUDERA;1415053;
GESU;142610;3;20;PT. ZONA LINTAS SAMUDERA;1426103;
GESU;142770;6;20;PT. ZONA LINTAS SAMUDERA;1427706;
GESU;144967;0;20;PT. ZONA LINTAS SAMUDERA;1449670;
GESU;145012;0;20;PT. ZONA LINTAS SAMUDERA;1450120;
GESU;208038;1;20;PT. ZONA LINTAS SAMUDERA;2080381;
GESU;216482;0;20;PT. ZONA LINTAS SAMUDERA;2164820;
GESU;246883;9;20;PT. ZONA LINTAS SAMUDERA;2468839;
GESU;261510;1;20;PT. ZONA LINTAS SAMUDERA;2615101;
GESU;262781;7;20;PT. ZONA LINTAS SAMUDERA;2627817;
GESU;267753;0;20;PT. ZONA LINTAS SAMUDERA;2677530;
GESU;269160;5;20;PT. ZONA LINTAS SAMUDERA;2691605;
GESU;275255;2;20;PT. ZONA LINTAS SAMUDERA;2752552;
GESU;280968;4;20;PT. ZONA LINTAS SAMUDERA;2809684;
GESU;283217;5;20;PT. ZONA LINTAS SAMUDERA;2832175;
GESU;286125;5;20;PT. ZONA LINTAS SAMUDERA;2861255;
GESU;287468;0;20;PT. ZONA LINTAS SAMUDERA;2874680;
GESU;289591;2;20;PT. ZONA LINTAS SAMUDERA;2895912;
GESU;292028;1;20;PT. ZONA LINTAS SAMUDERA;2920281;
GESU;293392;5;20;PT. ZONA LINTAS SAMUDERA;2933925;
GESU;302562;4;20;PT. ZONA LINTAS SAMUDERA;3025624;
GESU;303394;9;20;PT. ZONA LINTAS SAMUDERA;3033949;
GESU;304226;2;20;PT. ZONA LINTAS SAMUDERA;3042262;
GESU;305737;0;20;PT. ZONA LINTAS SAMUDERA;3057370;
GESU;306105;1;20;PT. ZONA LINTAS SAMUDERA;3061051;
GESU;306133;9;20;PT. ZONA LINTAS SAMUDERA;3061339;
GESU;331703;5;20;PT. ZONA LINTAS SAMUDERA;3317035;
GESU;350069;0;20;PT. ZONA LINTAS SAMUDERA;3500690;
GESU;357725;9;20;PT. ZONA LINTAS SAMUDERA;3577259;
GESU;360048;8;20;PT. ZONA LINTAS SAMUDERA;3600488;
GESU;363838;0;20;PT. ZONA LINTAS SAMUDERA;3638380;
GESU;380911;7;20;PT. ZONA LINTAS SAMUDERA;3809117;
GESU;388790;6;20;PT. ZONA LINTAS SAMUDERA;3887906;
GESU;389713;9;20;PT. ZONA LINTAS SAMUDERA;3897139;
GESU;425426;6;40;PT. ZONA LINTAS SAMUDERA;4254266;
GESU;462251;6;40;PT. ZONA LINTAS SAMUDERA;4622516;
GESU;468933;5;40;PT. ZONA LINTAS SAMUDERA;4689335;
GESU;473583;1;40;PT. ZONA LINTAS SAMUDERA;4735831;
GESU;483893;2;40;PT. ZONA LINTAS SAMUDERA;4838932;
GESU;489681;5;40;PT. ZONA LINTAS SAMUDERA;4896815;
GESU;511450;4;40;PT. ZONA LINTAS SAMUDERA;5114504;
GESU;531358;0;40;PT. ZONA LINTAS SAMUDERA;5313580;
GESU;550837;0;40;PT. ZONA LINTAS SAMUDERA;5508370;
GESU;557009;0;40;PT. ZONA LINTAS SAMUDERA;5570090;
GLDU;210493;6;20;PT. ZONA LINTAS SAMUDERA;2104936;
GLDU;226273;6;20;PT. ZONA LINTAS SAMUDERA;2262736;
GLDU;301270;5;20;PT. ZONA LINTAS SAMUDERA;3012705;
GLDU;340882;5;20;PT. ZONA LINTAS SAMUDERA;3408825;
GLDU;382781;6;20;PT. ZONA LINTAS SAMUDERA;3827816;
GLDU;389154;3;20;PT. ZONA LINTAS SAMUDERA;3891543;
GLDU;564111;6;20;PT. ZONA LINTAS SAMUDERA;5641116;
GLDU;575843;7;20;PT. ZONA LINTAS SAMUDERA;5758437;
GLDU;725282;8;20;PT. ZONA LINTAS SAMUDERA;7252828;
GLDU;750387;8;40;PT. ZONA LINTAS SAMUDERA;7503878;
GLDU;762005;1;40;PT. ZONA LINTAS SAMUDERA;7620051;
GLDU;936873;5;20;PT. ZONA LINTAS SAMUDERA;9368735;
GLDU;956615;5;20;PT. ZONA LINTAS SAMUDERA;9566155;
GLDU;970336;6;20;PT. ZONA LINTAS SAMUDERA;9703366;
GLDU;970850;0;20;PT. ZONA LINTAS SAMUDERA;9708500;
GSTU;381368;0;20;PT. ZONA LINTAS SAMUDERA;3813680;
GSTU;483332;0;20;PT. ZONA LINTAS SAMUDERA;4833320;
GSTU;511186;7;20;PT. ZONA LINTAS SAMUDERA;5111867;
GSTU;516096;4;20;PT. ZONA LINTAS SAMUDERA;5160964;
GSTU;590929;2;20;PT. ZONA LINTAS SAMUDERA;5909292;
GVCU;219009;9;20;PT. ZONA LINTAS SAMUDERA;2190099;
HALU;350931;1;20;PT. ZONA LINTAS SAMUDERA;3509311;
HCIU;210449;6;20;PT. ZONA LINTAS SAMUDERA;2104496;
HDMU;261996;9;20;PT. ZONA LINTAS SAMUDERA;2619969;
HJCU;124783;1;40;PT. ZONA LINTAS SAMUDERA;1247831;
HJMU;153190;9;40;PT. ZONA LINTAS SAMUDERA;1531909;
