Group;Kontainer;Awal;Akhir;Ukuran; Harga ;Periode;Status;Hari; DPP ;Keterangan; QTY Disc ; adjustment ; Pembulatan ; ppn ; pph ; grand_total ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank;OK;Approval;x;Group;;;;;;;;x
Z17;REGU5043662;15 Sep 24;14 Oct 24;40; 1.261.261 ;9;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25963;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Oct 24;14 Nov 24;40; 1.261.261 ;10;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25964;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Oct 24;14 Nov 24;40; 1.261.261 ;10;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.11.25964;20 Nov 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;GESU4838932;15 Nov 24;04 Dec 24;40; 1.261.261 ;11;Harian;20; 840.841 ;;; -   ;; 92.493 ; 16.817 ; 916.517 ;ZONA24.12.26550;28 Dec 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Nov 24;14 Dec 24;40; 1.261.261 ;11;Bulanan;30; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.12.26550;28 Dec 24;EBK250100275;30 Jan 25;OK;;Up;Z17;;;;;;;;
Z17;REGU5043662;15 Dec 24;21 Dec 24;40; 1.261.261 ;12;Harian;7; 294.294 ;;; -   ;; 32.372 ; 5.886 ; 320.780 ;ZONA24.12.26551;31 Dec 24;;;OK;07 Oct 25;Up;Z17;;;;;;;;
Z18;GESU4689335;16 Jan 24;15 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22412;23 Jan 24;EBK240500055;21 May 24;ok;;Up;Z18;;;;;;;;
Z18;GESU4735831;16 Jan 24;15 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22412;23 Jan 24;EBK240500055;21 May 24;ok;;Up;Z18;;;;;;;;
Z18;GESU4896815;16 Jan 24;15 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22412;23 Jan 24;EBK240500055;21 May 24;ok;;Up;Z18;;;;;;;;
Z18;PCIU9765813;16 Jan 24;15 Feb 24;40; 1.261.261 ;1;Bulanan;31; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.01.22412;23 Jan 24;EBK240500055;21 May 24;ok;;Up;Z18;;;;;;;;
Z18;GESU4689335;16 Feb 24;15 Mar 24;40; 1.261.261 ;2;Bulanan;29; 1.261.261 ;;; -   ;; 138.739 ; 25.225 ; 1.374.775 ;ZONA24.03.22930;20 Mar 24;EBK240500055;21 May 24;ok;;Up;Z18;;;;;;;;
