"vendor";"nomor_kontainer";"size";"group";"tanggal_awal";"tanggal_akhir";"periode";"masa";"tarif";"dpp";"dpp_nilai_lain";"ppn";"pph";"grand_total";"status";"computed_periode"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"2";"10 juli 2024 - 9 agustus 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"3";"10 agustus 2024 - 9 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"4";"10 september 2024 - 9 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"5";"10 oktober 2024 - 9 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"6";"10 november 2024 - 9 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"7";"10 desember 2024 - 9 januari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"8";"10 januari 2025 - 9 februari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"9";"10 februari 2025 - 9 maret 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"10";"10 maret 2025 - 9 april 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"11";"10 april 2025 - 9 mei 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"12";"10 mei 2025 - 9 juni 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"13";"10 juni 2025 - 9 juli 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"14";"10 juli 2025 - 9 agustus 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"BMOU4192536";"40";"Z002";"2024-06-10";"";"15";"10 agustus 2025 - 9 september 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"1";"14 juni 2024 - 13 juli 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"2";"14 juli 2024 - 13 agustus 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"3";"14 agustus 2024 - 13 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"4";"14 september 2024 - 13 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"5";"14 oktober 2024 - 13 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"6";"14 november 2024 - 13 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"7";"14 desember 2024 - 13 januari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"8";"14 januari 2025 - 13 februari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"9";"14 februari 2025 - 13 maret 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"10";"14 maret 2025 - 13 april 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"11";"14 april 2025 - 13 mei 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"12";"14 mei 2025 - 13 juni 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"13";"14 juni 2025 - 13 juli 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"14";"14 juli 2025 - 13 agustus 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"MSKU4555445";"40";"Z003";"2024-06-14";"";"15";"14 agustus 2025 - 13 september 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"15"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"1";"6 juli 2024 - 5 agustus 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"2";"6 agustus 2024 - 5 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"3";"6 september 2024 - 5 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"4";"6 oktober 2024 - 5 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"5";"6 november 2024 - 5 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"XXXU9902224";"40";"Z004";"2024-07-06";"2025-01-04";"6";"6 desember 2024 - 4 januari 2025";"Harian";"1261260.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"6"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"1";"6 juli 2024 - 5 agustus 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"2";"6 agustus 2024 - 5 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"3";"6 september 2024 - 5 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"4";"6 oktober 2024 - 5 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"5";"6 november 2024 - 5 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"6";"6 desember 2024 - 5 januari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"7";"6 januari 2025 - 5 februari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"8";"6 februari 2025 - 5 maret 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"9";"6 maret 2025 - 5 april 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"10";"6 april 2025 - 5 mei 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"11";"6 mei 2025 - 5 juni 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"12";"6 juni 2025 - 5 juli 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"TEXU7210230";"40";"Z004";"2024-07-06";"2025-07-25";"13";"6 juli 2025 - 25 juli 2025";"Harian";"840840.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"1";"29 agustus 2024 - 28 september 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"2";"29 september 2024 - 28 oktober 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"3";"29 oktober 2024 - 28 november 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"4";"29 november 2024 - 28 desember 2024";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"5";"29 desember 2024 - 28 januari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
"ZONA";"GESU5570090";"40";"Z005";"2024-08-29";"";"6";"29 januari 2025 - 28 februari 2025";"Bulanan";"1261261.00";"1156155.92";"138738.71";"25225.22";"1374774.49";"";"13"
